customer_key,customer_name,region,tier
474,Customer 474,North,Gold
475,Customer 475,South,Platinum
476,Customer 476,North,Platinum
477,Customer 477,Central,Gold
478,Customer 478,North,Silver
479,Customer 479,East,Gold
480,Customer 480,East,Platinum
481,Customer 481,North,Gold
482,Customer 482,East,Silver
483,Customer 483,North,Gold
484,Customer 484,South,Silver
485,Customer 485,South,Gold
486,Customer 486,Central,Gold
487,Customer 487,Central,Gold
488,Customer 488,East,Silver
489,Customer 489,North,Platinum
490,Customer 490,South,Gold
491,Customer 491,East,Silver
492,Customer 492,East,Gold
493,Customer 493,East,Gold
494,Customer 494,East,Platinum
495,Customer 495,North,Gold
496,Customer 496,East,Gold
497,Customer 497,Central,Gold
498,Customer 498,South,Platinum
499,Customer 499,East,Silver
500,Customer 500,North,Silver
